ID,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,city,median_income_range,Housevalue_Range,Housing_Age_range,Residents,block
2486,-117.62,34.07,16,6009,1599,5110,1389,2.5677,128900,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2486,Block 2486
2487,-117.62,34.07,15,4061,811,2884,734,3.3936,127000,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2487,Block 2487
2488,-117.62,34.05,33,883,211,1007,210,2.8281,103600,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2488,Block 2488
2489,-117.62,34.03,15,3942,661,2240,621,4.8311,176000,Westmorland,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2489,Block 2489
2490,-117.62,34.02,9,4265,587,2280,589,5.5632,195100,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2490,Block 2490
2491,-117.62,34.02,16,2040,325,1207,324,5.0431,164100,Westmorland,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2491,Block 2491
2492,-117.62,33.77,43,1911,439,930,433,4.6369,186400,Wildomar,3.5446 < income <= 4.767 ,180400.0 < House_Value <= 265000.0 ,37.0 < Housing_Age < 52.0 ,R2492,Block 2492
2493,-117.62,33.64,2,7826,893,2985,790,10.1531,484100,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2493,Block 2493
2494,-117.62,33.47,4,1812,255,661,211,6.487,294200,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2494,Block 2494
2495,-117.62,33.43,27,1835,413,1221,377,3.2232,247100,Temecula,2.566375 < income <= 3.5446 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2495,Block 2495
2496,-117.62,33.43,24,1296,384,850,367,2.7545,231300,Temecula,2.566375 < income <= 3.5446 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2496,Block 2496
2497,-117.62,33.43,23,4052,955,1950,859,4.0647,240600,Temecula,3.5446 < income <= 4.767 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2497,Block 2497
2498,-117.62,33.42,27,1444,412,597,311,3.1395,310000,Temecula,2.566375 < income <= 3.5446 ,265000.0 < House_Value <= 500001.0 ,18.0 < Housing_Age < 29.0 ,R2498,Block 2498
2499,-117.62,33.42,23,2656,515,998,435,4.0294,500001,Temecula,3.5446 < income <= 4.767 ,265000.0 < House_Value <= 500001.0 ,18.0 < Housing_Age < 29.0 ,R2499,Block 2499
2500,-117.63,34.37,20,7052,1306,2197,810,3.7252,167100,Shasta Lake,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2500,Block 2500
2501,-117.63,34.12,4,4323,775,1479,663,6.0758,226800,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2501,Block 2501
2502,-117.63,34.1,15,4799,1209,2554,1057,2.6582,122800,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2502,Block 2502
2503,-117.63,34.09,19,3490,816,2818,688,2.8977,126200,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2503,Block 2503
2504,-117.63,34.08,38,1810,371,1257,354,3.8355,111700,Westmorland,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2504,Block 2504
2505,-117.63,34.07,39,2650,511,1537,495,3.4432,106700,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2505,Block 2505
2506,-117.63,34.06,39,1210,310,1294,303,2.3636,88300,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2506,Block 2506
2507,-117.63,34.02,13,4864,729,2780,723,5.6168,175400,Westmorland,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2507,Block 2507
2508,-117.63,33.94,36,447,95,2886,85,4.2578,183300,Wheatland,3.5446 < income <= 4.767 ,180400.0 < House_Value <= 265000.0 ,29.0 < Housing_Age < 37.0 ,R2508,Block 2508
2509,-117.63,33.65,10,3580,491,1688,467,7.7814,288700,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2509,Block 2509
2510,-117.63,33.63,6,3068,549,985,536,4.2009,238000,Williams,3.5446 < income <= 4.767 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2510,Block 2510
2511,-117.63,33.62,9,4257,785,1293,745,3.7139,196700,Williams,3.5446 < income <= 4.767 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2511,Block 2511
2512,-117.63,33.5,12,3619,536,1506,492,7.2013,353600,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2512,Block 2512
2513,-117.63,33.47,4,2320,405,1408,477,6.3369,256000,Temecula,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2513,Block 2513
2514,-117.63,33.47,4,1969,280,805,271,7.6012,310800,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2514,Block 2514
2515,-117.63,33.46,7,7684,1088,2812,1057,6.3401,387300,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2515,Block 2515
2516,-117.63,33.45,5,3549,604,1571,534,5.3705,363500,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2516,Block 2516
2517,-117.63,33.38,12,5744,1054,2104,847,5.1482,500001,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2517,Block 2517
2518,-117.64,35.61,10,2656,506,1349,501,4.25,83200,Vacaville,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R2518,Block 2518
2519,-117.64,34.15,16,2896,404,1165,379,6.4559,392900,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2519,Block 2519
2520,-117.64,34.12,18,3605,534,1682,480,5.8407,202900,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2520,Block 2520
2521,-117.64,34.11,16,2129,420,932,379,2.5868,146900,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2521,Block 2521
2522,-117.64,34.08,37,2576,468,1284,428,3.3958,130400,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2522,Block 2522
2523,-117.64,34.08,35,1254,241,729,253,3.495,118000,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2523,Block 2523
2524,-117.64,34.08,33,1987,455,1369,475,2.4464,122600,Westmorland,0.4999 < income <= 2.566375 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2524,Block 2524
2525,-117.64,34.07,52,1644,372,1269,355,2.6913,108300,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2525,Block 2525
2526,-117.64,34.07,43,1970,379,1036,391,3.2083,122800,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,37.0 < Housing_Age < 52.0 ,R2526,Block 2526
2527,-117.64,34.07,38,2450,544,1823,536,2.837,111200,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2527,Block 2527
2528,-117.64,34.07,30,2787,713,2647,693,2.2765,98100,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2528,Block 2528
2529,-117.64,34.06,50,637,143,590,147,1.9659,85700,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2529,Block 2529
2530,-117.64,34.06,43,763,219,851,198,1.7292,79200,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2530,Block 2530
2531,-117.64,34.05,32,1129,251,1378,268,3.0057,96900,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2531,Block 2531
2532,-117.64,34.05,27,1407,362,1684,350,2.1944,95700,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R2532,Block 2532
2533,-117.64,34.04,21,1801,507,2556,484,2.4716,102500,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R2533,Block 2533
2534,-117.64,34.03,11,2050,382,1044,371,4.8281,137000,Westmorland,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2534,Block 2534
2535,-117.64,34.03,10,3194,579,2088,549,4.1779,159100,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2535,Block 2535
2536,-117.64,34.02,6,248,47,119,42,2.125,416700,Westmorland,0.4999 < income <= 2.566375 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2536,Block 2536
2537,-117.64,34.02,10,4887,930,2637,831,4.0611,158000,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2537,Block 2537
2538,-117.64,33.99,29,1005,152,513,149,2.4375,181300,Westmorland,0.4999 < income <= 2.566375 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2538,Block 2538
2539,-117.64,33.88,13,8010,1366,3920,1309,5.536,204800,Whittier,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2539,Block 2539
2540,-117.64,33.68,4,5687,970,2677,938,6.5069,243400,Williams,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2540,Block 2540
2541,-117.64,33.64,11,2422,429,810,395,6.1935,293200,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2541,Block 2541
2542,-117.64,33.63,10,4814,643,1808,588,8.798,436600,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2542,Block 2542
2543,-117.64,33.62,16,3970,771,1202,734,3.4115,184800,Williams,2.566375 < income <= 3.5446 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2543,Block 2543
2544,-117.64,33.61,14,5232,810,3041,839,5.826,247900,Williams,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2544,Block 2544
2545,-117.64,33.59,4,3274,383,1312,390,8.1611,348000,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2545,Block 2545
2546,-117.64,33.51,15,1743,254,943,274,5.9339,286000,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2546,Block 2546
2547,-117.64,33.51,14,1343,175,650,184,7.2648,363200,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2547,Block 2547
2548,-117.64,33.49,3,2516,429,781,337,5.6197,271600,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2548,Block 2548
2549,-117.64,33.48,12,2007,397,1033,373,5.6754,275900,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2549,Block 2549
2550,-117.64,33.45,27,334,56,130,46,4.875,284100,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,18.0 < Housing_Age < 29.0 ,R2550,Block 2550
2551,-117.65,34.14,9,3877,490,1815,490,8.4839,406700,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2551,Block 2551
2552,-117.65,34.14,16,2196,287,949,289,8.6573,354000,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2552,Block 2552
2553,-117.65,34.13,24,2121,296,913,302,5.9328,255900,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2553,Block 2553
2554,-117.65,34.12,27,2298,340,1071,369,6.5587,239000,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2554,Block 2554
2555,-117.65,34.12,17,3006,427,1291,406,6.2083,242700,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2555,Block 2555
2556,-117.65,34.11,29,2927,634,1710,623,3.6219,176600,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2556,Block 2556
2557,-117.65,34.11,28,2788,370,1140,385,5.3368,233500,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2557,Block 2557
2558,-117.65,34.1,44,1526,337,831,326,3.0284,115800,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2558,Block 2558
2559,-117.65,34.1,30,1461,341,1014,345,2.4667,106000,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2559,Block 2559
2560,-117.65,34.1,19,1688,365,622,322,3.6,136400,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2560,Block 2560
2561,-117.65,34.09,46,1214,281,701,294,2.7083,116300,Westmorland,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2561,Block 2561
2562,-117.65,34.09,33,2446,396,1209,412,4.3958,145600,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2562,Block 2562
2563,-117.65,34.08,52,2264,439,1031,437,3.375,144300,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,37.0 < Housing_Age < 52.0 ,R2563,Block 2563
2564,-117.65,34.08,40,1609,258,624,242,5.4689,158200,Westmorland,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,37.0 < Housing_Age < 52.0 ,R2564,Block 2564
2565,-117.65,34.08,38,2750,572,1410,483,3.3836,144900,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,37.0 < Housing_Age < 52.0 ,R2565,Block 2565
2566,-117.65,34.08,35,2621,391,1074,391,4.7176,166400,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2566,Block 2566
2567,-117.65,34.07,52,1041,252,558,231,1.9236,117200,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2567,Block 2567
2568,-117.65,34.07,35,2501,651,1182,591,1.4464,113200,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2568,Block 2568
2569,-117.65,34.06,41,465,130,349,138,2.0893,112500,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2569,Block 2569
2570,-117.65,34.06,41,1171,334,1479,334,2.25,90500,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R2570,Block 2570
2571,-117.65,34.04,28,2360,607,2623,592,2.5048,100000,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R2571,Block 2571
2572,-117.65,34.04,15,3393,653,2039,611,3.9336,151000,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2572,Block 2572
2573,-117.65,34.03,15,4420,903,2373,858,3.449,149100,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2573,Block 2573
2574,-117.65,34.02,9,2107,411,1138,389,4.4042,159100,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2574,Block 2574
2575,-117.65,33.65,16,1538,260,835,259,5.5779,234800,Williams,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2575,Block 2575
2576,-117.65,33.65,15,4713,671,2197,673,7.5426,294800,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2576,Block 2576
2577,-117.65,33.65,15,3485,519,1740,485,6.7543,251900,Williams,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2577,Block 2577
2578,-117.65,33.63,16,3388,425,1395,427,8.4471,351300,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2578,Block 2578
2579,-117.65,33.62,15,2708,410,1140,389,6.2899,275000,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2579,Block 2579
2580,-117.65,33.6,15,5736,800,2529,762,6.4114,278700,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2580,Block 2580
2581,-117.65,33.6,13,2319,430,1004,380,5.133,316100,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2581,Block 2581
2582,-117.65,33.59,8,2649,340,1238,354,8.0409,337900,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2582,Block 2582
2583,-117.65,33.58,2,2411,354,703,217,7.8061,331400,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2583,Block 2583
2584,-117.65,33.53,7,6814,785,2175,681,10.49,500001,Williams,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2584,Block 2584
2585,-117.65,33.49,16,2223,454,628,382,4.3603,248800,Temecula,3.5446 < income <= 4.767 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2585,Block 2585
2586,-117.65,33.48,6,1638,188,572,174,13.0502,500001,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2586,Block 2586
2587,-117.65,33.48,10,3484,582,1469,556,5.4188,402200,Temecula,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2587,Block 2587
2588,-117.65,33.45,15,7468,1275,3033,1217,5.49,239300,Temecula,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2588,Block 2588
2589,-117.65,33.42,25,2174,428,603,352,3.3967,249400,Temecula,2.566375 < income <= 3.5446 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2589,Block 2589
2590,-117.65,33.4,17,2737,654,910,492,3.5729,370800,Temecula,3.5446 < income <= 4.767 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2590,Block 2590
2591,-117.66,35.63,33,2579,564,1155,431,2.0441,42100,Vacaville,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2591,Block 2591
2592,-117.66,35.62,11,5897,1138,2728,1072,4.15,85700,Vacaville,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R2592,Block 2592
2593,-117.66,35.61,5,5735,932,2623,862,4.8494,87200,Vacaville,4.767 < income <= 15.0001 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R2593,Block 2593
2594,-117.66,35.6,14,1740,391,850,317,2.5812,91700,Vacaville,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R2594,Block 2594
2595,-117.66,34.15,25,3430,485,1284,438,8.5282,360100,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,18.0 < Housing_Age < 29.0 ,R2595,Block 2595
2596,-117.66,34.15,20,2524,311,965,285,8.0103,395500,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,18.0 < Housing_Age < 29.0 ,R2596,Block 2596
2597,-117.66,34.14,8,1692,253,857,251,6.9418,310500,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2597,Block 2597
2598,-117.66,34.14,11,3628,469,1488,463,7.0844,325000,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2598,Block 2598
2599,-117.66,34.13,19,3995,554,1523,509,6.075,254100,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,18.0 < Housing_Age < 29.0 ,R2599,Block 2599
2600,-117.66,34.13,17,3229,405,1289,407,6.3842,307100,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,1.0 < Housing_Age < 18.0 ,R2600,Block 2600
2601,-117.66,34.12,22,2272,278,933,305,8.8204,390500,Westmorland,4.767 < income <= 15.0001 ,265000.0 < House_Value <= 500001.0 ,18.0 < Housing_Age < 29.0 ,R2601,Block 2601
2602,-117.66,34.1,37,1971,345,939,358,3.4634,145300,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2602,Block 2602
2603,-117.66,34.1,26,1855,553,1109,536,2.2429,150000,Westmorland,0.4999 < income <= 2.566375 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2603,Block 2603
2604,-117.66,34.09,26,1151,200,593,188,3.6667,166300,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2604,Block 2604
2605,-117.66,34.09,23,1426,313,954,319,3.0357,151500,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2605,Block 2605
2606,-117.66,34.09,20,2462,496,1117,458,3.2321,162500,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R2606,Block 2606
2607,-117.66,34.08,33,3659,590,1773,615,3.9227,157200,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2607,Block 2607
2608,-117.66,34.07,37,2454,511,1165,504,2.9474,139600,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2608,Block 2608
2609,-117.66,34.07,36,2072,408,964,395,2.8702,137000,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2609,Block 2609
2610,-117.66,34.07,33,2081,409,1008,375,2.587,138100,Westmorland,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R2610,Block 2610
2611,-117.66,34.06,24,4043,952,2174,859,2.2244,114900,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R2611,Block 2611
2612,-117.66,34.05,6,5129,1119,2533,949,3.625,113600,Westmorland,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R2612,Block 2612
2613,-117.66,34.05,36,2341,520,2138,523,2.3347,104000,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2613,Block 2613
2614,-117.66,34.05,33,960,216,831,222,2.5391,108600,Westmorland,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R2614,Block 2614
2615,-117.66,34.04,16,2081,348,1332,356,4.7872,147600,Westmorland,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2615,Block 2615
2616,-117.66,34.04,10,3657,695,2079,663,4.2054,159900,Westmorland,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R2616,Block 2616
2617,-117.66,34.03,14,2137,345,1151,352,5.753,185500,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2617,Block 2617
2618,-117.66,34.02,12,5616,871,3019,782,5.5425,202300,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2618,Block 2618
2619,-117.66,34.02,11,3358,504,1690,482,6.7544,207900,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2619,Block 2619
2620,-117.66,34,5,1387,236,855,270,5.411,201100,Westmorland,4.767 < income <= 15.0001 ,180400.0 < House_Value <= 265000.0 ,1.0 < Housing_Age < 18.0 ,R2620,Block 2620
